DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
211507896,04/11/2021 12:00:00 AM,11/07/2020 12:00:00 AM,0845,15,N Hollywood,1502,2,354,THEFT OF IDENTITY,0377,31,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,7800    BEEMAN                       AV,,34.2124,-118.4092
201516622,10/21/2020 12:00:00 AM,10/18/2020 12:00:00 AM,1845,15,N Hollywood,1521,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0334 2004 1822 1414 0305 0319 0400,32,M,H,102,SIDEWALK,200,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,230,,,,ATOLL                        AV,N  GAULT,34.1993,-118.4203
240913563,12/10/2024 12:00:00 AM,10/30/2020 12:00:00 AM,1240,09,Van Nuys,0933,2,354,THEFT OF IDENTITY,0377,30,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,14600    SYLVAN                       ST,,34.1847,-118.4509
210704711,12/24/2020 12:00:00 AM,12/24/2020 12:00:00 AM,1310,07,Wilshire,0782,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344,47,F,A,101,STREET,,,IC,Invest Cont,331,,,,6000    COMEY                        AV,,34.0339,-118.3747
201418201,10/03/2020 12:00:00 AM,09/29/2020 12:00:00 AM,1830,14,Pacific,1454,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1300 0344 1606 2032,63,M,H,103,ALLEY,,,IC,Invest Cont,420,,,,4700    LA VILLA MARINA,,33.9813,-118.435
240412063,12/11/2024 12:00:00 AM,11/11/2020 12:00:00 AM,1210,04,Hollenbeck,0429,2,354,THEFT OF IDENTITY,0100,35,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,5300    CRONUS                       ST,,34.083,-118.1678
240317069,12/16/2024 12:00:00 AM,04/16/2020 12:00:00 AM,1350,03,Southwest,0396,2,354,THEFT OF IDENTITY,0100 0928 1822,21,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,900 W  40TH                         PL,,34.01,-118.29
201115217,10/29/2020 12:00:00 AM,07/07/2020 12:00:00 AM,1400,11,Northeast,1133,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1259 0448 0304 1822 0500 0522,14,F,H,121,YARD (RESIDENTIAL/BUSINESS),500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,812,860,,,3000    ACRESITE                     ST,,34.1107,-118.2589
241708596,04/20/2024 12:00:00 AM,03/02/2020 12:00:00 AM,1200,17,Devonshire,1729,2,354,THEFT OF IDENTITY,1501,43,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,17700    SIMONDS                      ST,,34.2763,-118.521
242113813,12/18/2024 12:00:00 AM,09/01/2020 12:00:00 AM,0900,21,Topanga,2196,2,354,THEFT OF IDENTITY,0930,57,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,20900    MARMORA                      ST,,34.1493,-118.5886
240605846,02/06/2024 12:00:00 AM,06/20/2020 12:00:00 AM,0001,06,Hollywood,0657,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0500 1251 0913 0522 0551 1259 0558,13,M,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,812,860,,,1000 N  RIDGEWOOD                    PL,,34.0878,-118.3146
242014110,12/18/2024 12:00:00 AM,11/17/2020 12:00:00 AM,1320,20,Olympic,2023,2,354,THEFT OF IDENTITY,0100 0928 1822,34,F,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,400 S  ARDMORE                      AV,,34.0672,-118.3016
202113531,09/06/2020 12:00:00 AM,09/05/2020 12:00:00 AM,1500,21,Topanga,2149,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,AA,Adult Arrest,510,,,,19700    VANOWEN                      ST,,34.1938,-118.5631
211607282,04/25/2021 12:00:00 AM,04/25/2021 12:00:00 AM,0300,16,Foothill,1675,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344,32,M,H,101,STREET,,,IC,Invest Cont,440,,,,10900    DORA                         ST,,34.2293,-118.3675
210614453,08/17/2021 12:00:00 AM,07/13/2021 12:00:00 AM,1525,06,Hollywood,0645,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822,49,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440,,,,1700 N  SYCAMORE                     AV,,34.1015,-118.3434
211115048,11/05/2021 12:00:00 AM,11/05/2021 12:00:00 AM,1700,11,Northeast,1146,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 0329,30,M,H,101,STREET,,,IC,Invest Cont,420,,,,BLAKE,BLIMP,34.0966,-118.2426
210811260,07/04/2021 12:00:00 AM,03/26/2021 12:00:00 AM,0930,08,West LA,0849,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 2034 1822 0352 1221,56,F,O,102,SIDEWALK,,,IC,Invest Cont,341,,,,1100 S  BEDFORD                      ST,,34.0546,-118.3806
201710725,07/03/2020 12:00:00 AM,07/02/2020 12:00:00 AM,0500,17,Devonshire,1762,1,310,BURGLARY,0344,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,9500    COZYCROFT                    AV,,34.2427,-118.582
201406733,02/16/2020 12:00:00 AM,02/13/2020 12:00:00 AM,2300,14,Pacific,1406,1,330,BURGLARY FROM VEHICLE,0344 1300,32,M,W,707,GARAGE/CARPORT,,,IC,Invest Cont,330,,,,3300    MOTOR                        AV,,34.024,-118.409
210207095,03/19/2021 12:00:00 AM,03/18/2021 12:00:00 AM,1100,02,Rampart,0211,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,600 N  MARIPOSA                     AV,,34.0812,-118.2992
201405970,02/01/2020 12:00:00 AM,02/01/2020 12:00:00 AM,1658,14,Pacific,1494,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344,39,M,O,212,TRANSPORTATION FACILITY (AIRPORT),,,AO,Adult Other,440,,,,300    WORLD                        WY,,33.944,-118.4073
210906427,03/01/2021 12:00:00 AM,03/01/2021 12:00:00 AM,1409,09,Van Nuys,0952,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822 0394 1420,27,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,5400 N  SEPULVEDA                    BL,,34.1685,-118.4662
211218123,08/21/2021 12:00:00 AM,08/21/2021 12:00:00 AM,2351,12,77th Street,1215,1,210,ROBBERY,0916 0342 0344 0913 0416,51,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,210,,,,VERMONT,58TH                         ST,33.9897,-118.2915
210117207,09/16/2021 12:00:00 AM,09/16/2021 12:00:00 AM,1500,01,Central,0161,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,24,M,B,503,HOTEL,,,AA,Adult Arrest,341,,,,800    FRANCISCO                    ST,,34.0477,-118.2637
201820230,11/08/2020 12:00:00 AM,11/08/2020 12:00:00 AM,0730,18,Southeast,1844,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1300 0416 1814 0446 1310 0400,26,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,108TH                        ST,AVALON                       AV,33.9383,-118.2652
210909634,05/24/2021 12:00:00 AM,05/19/2021 12:00:00 AM,1135,09,Van Nuys,0981,1,330,BURGLARY FROM VEHICLE,1414 1822 1300 0344 0321 1609,52,M,W,707,GARAGE/CARPORT,,,IC,Invest Cont,330,,,,4400    NOBLE                        AV,,34.1505,-118.4622
210807527,03/28/2021 12:00:00 AM,03/28/2021 12:00:00 AM,1652,08,West LA,0839,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0346,57,F,O,203,OTHER BUSINESS,,,IC,Invest Cont,440,,,,SANTA MONICA                 BL,AVENUE OF THE STARS,34.0611,-118.4184
211208132,03/06/2021 12:00:00 AM,03/05/2021 12:00:00 AM,0700,12,77th Street,1266,2,946,OTHER MISCELLANEOUS CRIME,0603 0913,45,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,946,,,,900 W  80TH                         ST,,33.9667,-118.2889
201707577,03/20/2020 12:00:00 AM,03/20/2020 12:00:00 AM,1320,17,Devonshire,1752,2,624,BATTERY - SIMPLE ASSAULT,0202 1300 1822 0356,21,F,W,210,RESTAURANT/FAST FOOD,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,,,,20900    DEVONSHIRE                   ST,,34.2572,-118.5885
201514848,09/04/2020 12:00:00 AM,08/17/2020 12:00:00 AM,0400,15,N Hollywood,1549,1,310,BURGLARY,1605 0344 1420,0,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,310,,,,11100    CUMPSTON                     ST,,34.17,-118.3722
201405023,01/19/2020 12:00:00 AM,01/19/2020 12:00:00 AM,1850,14,Pacific,1435,1,310,BURGLARY,1609 0344,37,M,A,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310,,,,3500    PURDUE                       AV,,34.0158,-118.4258
211306997,03/09/2021 12:00:00 AM,11/01/2020 12:00:00 AM,1800,13,Newton,1313,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1300 1309,37,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440,,,,700 E  18TH                         ST,,34.0283,-118.2562
210206036,02/20/2021 12:00:00 AM,02/20/2021 12:00:00 AM,2250,02,Rampart,0201,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 0447 1822,0,F,X,122,"VEHICLE, PASSENGER/TRUCK",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,745,,,,1000 N  MARIPOSA                     AV,,34.0891,-118.2992
211415798,07/29/2021 12:00:00 AM,07/28/2021 12:00:00 AM,2100,14,Pacific,1472,1,310,BURGLARY,0344 1601,0,X,X,120,STORAGE SHED,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310,,,,6800    VISTA DEL MAR,,33.9586,-118.4485
201405778,01/27/2020 12:00:00 AM,01/20/2020 12:00:00 AM,1540,14,Pacific,1494,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344,34,M,W,212,TRANSPORTATION FACILITY (AIRPORT),,,IC,Invest Cont,440,,,,600    WORLD                        WY,,33.943,-118.4035
202005291,01/29/2020 12:00:00 AM,01/29/2020 12:00:00 AM,0545,20,Olympic,2038,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 2032 0344,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,440,,,,3100    WILSHIRE                     BL,,34.0618,-118.2891
211108986,05/27/2021 12:00:00 AM,05/25/2021 12:00:00 AM,1900,11,Northeast,1173,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,2100    LEMOYNE                      ST,,34.0905,-118.2526
201715737,11/25/2020 12:00:00 AM,11/25/2020 12:00:00 AM,1200,17,Devonshire,1777,1,310,BURGLARY,0344 1202 0352,69,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,9700    VALJEAN                      AV,,34.2467,-118.4872
210318547,11/08/2021 12:00:00 AM,10/14/2021 12:00:00 AM,0001,03,Southwest,0361,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 1300 0329,54,F,B,103,ALLEY,,,IC,Invest Cont,740,,,,3900    STEVELY                      AV,,34.0159,-118.3536
210711399,07/28/2021 12:00:00 AM,07/21/2021 12:00:00 AM,2100,07,Wilshire,0745,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1202,60,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,1000 S  BURNSIDE                     AV,,34.0545,-118.3525
210507112,03/20/2021 12:00:00 AM,03/20/2021 12:00:00 AM,1715,05,Harbor,0503,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1252 0344 1309,33,M,H,101,STREET,,,IC,Invest Cont,440,,,,PACIFIC COAST                HY,VERMONT,33.791,-118.2917
211916071,11/27/2021 12:00:00 AM,11/27/2021 12:00:00 AM,0946,19,Mission,1974,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0394,25,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,14600    NORDHOFF                     ST,,34.2354,-118.4502
201608553,04/28/2020 12:00:00 AM,04/28/2020 12:00:00 AM,1730,16,Foothill,1622,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0421 1822,14,M,H,109,PARK/PLAYGROUND,114,AIR PISTOL/REVOLVER/RIFLE/BB GUN,AA,Adult Arrest,230,,,,10900    HADDON                       AV,,34.2685,-118.4364
211715024,11/12/2021 12:00:00 AM,11/11/2021 12:00:00 AM,1630,17,Devonshire,1785,1,310,BURGLARY,1607 0344 0352,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,9000    RESEDA                       BL,,34.234,-118.5361
202006163,02/14/2020 12:00:00 AM,02/11/2020 12:00:00 AM,1600,20,Olympic,2033,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1307 1822,24,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745,,,,3700    WILSHIRE                     BL,,34.0617,-118.3066
210122790,12/25/2021 12:00:00 AM,12/25/2021 12:00:00 AM,1900,01,Central,0157,1,210,ROBBERY,0344 0400 1822,53,M,W,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,210,,,,5TH,TOWNE,34.043,-118.242
210611673,06/24/2021 12:00:00 AM,06/24/2021 12:00:00 AM,0235,06,Hollywood,0646,1,210,ROBBERY,0344 0334 1822 1300 0340,40,M,B,101,STREET,102,HAND GUN,IC,Invest Cont,210,,,,IVAR,SELMA,34.0998,-118.3288
